provincia,nombre1,nombre2,poblacion,superficie,coords,altitud,link,id
Álava,Alegría-Dulantzi,,2935,"1994,5872","(42.83981158,-2.51243731)",568,https://www.aemet.es/es/eltiempo/prediccion/municipios/alegria-dulantzi-id01001,01001
Álava,Amurrio,,10264,"9649,53","(43.05427776,-3.00007326)",219,https://www.aemet.es/es/eltiempo/prediccion/municipios/amurrio-id01002,01002
Álava,Aramaio,,1442,"7325,84","(43.05119653,-2.56540037)",333,https://www.aemet.es/es/eltiempo/prediccion/municipios/aramaio-ibarra-id01003,01003
Álava,Artziniega,,1800,"2728,73","(43.12084358,-3.12791718)",210,https://www.aemet.es/es/eltiempo/prediccion/municipios/artziniega-id01004,01004
Álava,Armiñón,,223,"1297,27","(42.72326199,-2.87183475)",467,https://www.aemet.es/es/eltiempo/prediccion/municipios/arminon-id01006,01006
Álava,Arratzua-Ubarrundia,,984,"5755,98","(42.89116171,-2.63878816)",528,https://www.aemet.es/es/eltiempo/prediccion/municipios/arratzua-ubarrundia-durana-id01008,01008
Álava,Asparrena,,1623,"6533,64","(42.88968768,-2.31670754)",602,https://www.aemet.es/es/eltiempo/prediccion/municipios/asparrena-araia-id01009,01009
Álava,Ayala,Aiara,2968,"14074,15","(43.07768283,-3.04306746)",306,https://www.aemet.es/es/eltiempo/prediccion/municipios/ayala-aiara-arespalditza-respaldiza-id01010,01010
Álava,Baños de Ebro,Mañueta,294,"950,39","(42.52925602,-2.67863583)",421,https://www.aemet.es/es/eltiempo/prediccion/municipios/banos-de-ebro-manueta-id01011,01011
Álava,Barrundia,,881,"9742,34","(42.91537538,-2.49407452)",575,https://www.aemet.es/es/eltiempo/prediccion/municipios/barrundia-ozaeta-id01013,01013
Álava,Berantevilla,,463,"3574,75","(42.68227191,-2.85971414)",471,https://www.aemet.es/es/eltiempo/prediccion/municipios/berantevilla-id01014,01014
Álava,Bernedo,,507,"13048,2","(42.62676989,-2.49825439)",710,https://www.aemet.es/es/eltiempo/prediccion/municipios/bernedo-id01016,01016
Álava,Campezo,Kanpezu,1034,"8536,0875","(42.66971209,-2.35207693)",578,https://www.aemet.es/es/eltiempo/prediccion/municipios/campezo-kanpezu-santa-cruz-de-campezo-santikurutze-kanpezu-id01017,01017
Álava,Zigoitia,,1749,"10206,9376","(42.96210609,-2.73033002)",585,https://www.aemet.es/es/eltiempo/prediccion/municipios/zigoitia-gopegi-id01018,01018
Álava,Kripan,,178,"1251,599","(42.59082439,-2.51621636)",691,https://www.aemet.es/es/eltiempo/prediccion/municipios/kripan-id01019,01019
Álava,Kuartango,,385,"8431,96","(42.87006411,-2.88438243)",594,https://www.aemet.es/es/eltiempo/prediccion/municipios/kuartango-zuhatzu-kuartango-id01020,01020
Álava,Elburgo,Burgelu,608,"3209,3031","(42.850282,-2.545933)",540,https://www.aemet.es/es/eltiempo/prediccion/municipios/elburgo-burgelu-id01021,01021
Álava,Elciego,,1001,"1625,58","(42.51420738,-2.61723872)",451,https://www.aemet.es/es/eltiempo/prediccion/municipios/elciego-id01022,01022
Álava,Elvillar,Bilar,330,"1750,2228","(42.56842577,-2.54441267)",581,https://www.aemet.es/es/eltiempo/prediccion/municipios/elvillar-bilar-id01023,01023
Álava,Iruraiz-Gauna,,532,"4712,8628","(42.83131017,-2.475996232)",627,https://www.aemet.es/es/eltiempo/prediccion/municipios/iruraiz-gauna-azilu-id01027,01027
Álava,Labastida,Bastida,1517,"3810,73","(42.590217,-2.793199)",555,https://www.aemet.es/es/eltiempo/prediccion/municipios/labastida-bastida-id01028,01028
Álava,Lagrán,,162,"4562,02","(42.62621464,-2.58423377)",751,https://www.aemet.es/es/eltiempo/prediccion/municipios/lagran-id01030,01030
Álava,Laguardia,,1454,"8093,55","(42.55236655,-2.58411693)",630,https://www.aemet.es/es/eltiempo/prediccion/municipios/laguardia-laguardia-biasteri-id01031,01031
Álava,Lanciego,Lantziego,709,"2425,3","(42.5624416,-2.51278162)",542,https://www.aemet.es/es/eltiempo/prediccion/municipios/lanciego-lantziego-id01032,01032
Álava,Lapuebla de Labarca,,865,605,"(42.49441468,-2.57209001)",431,https://www.aemet.es/es/eltiempo/prediccion/municipios/lapuebla-de-labarca-puebla-de-labarca-la-lapuebla-labarka-id01033,01033
Álava,Leza,,211,"992,2543","(42.56469687,-2.63459428)",569,https://www.aemet.es/es/eltiempo/prediccion/municipios/leza-id01034,01034
Álava,Laudio,Llodio,18118,3756,"(43.1425188,-2.96256495)",123,https://www.aemet.es/es/eltiempo/prediccion/municipios/laudio-llodio-id01036,01036
Álava,Arraia-Maeztu,,733,"12310,7942","(42.738527,-2.444299)",649,https://www.aemet.es/es/eltiempo/prediccion/municipios/arraia-maeztu-maeztu-maestu-id01037,01037
Álava,Moreda de Álava,Moreda Araba,211,"867,1106","(42.52479167,-2.40841718)",461,https://www.aemet.es/es/eltiempo/prediccion/municipios/moreda-de-alava-moreda-araba-id01039,01039
Álava,Navaridas,,194,"891,6398","(42.5450594,-2.62479544)",535,https://www.aemet.es/es/eltiempo/prediccion/municipios/navaridas-id01041,01041
Álava,Okondo,,1203,"2979,23","(43.1615513,-3.019026823)",135,https://www.aemet.es/es/eltiempo/prediccion/municipios/okondo-eskauriatza-id01042,01042
Álava,Oyón-Oion,,3410,"4517,7474","(42.506067,-2.436788)",435,https://www.aemet.es/es/eltiempo/prediccion/municipios/oyon-oion-id01043,01043
Álava,Peñacerrada-Urizaharra,,262,"6215,43","(42.64417512,-2.71402821)",752,https://www.aemet.es/es/eltiempo/prediccion/municipios/penacerrada-urizaharra-id01044,01044
Álava,Erriberagoitia,Ribera Alta,782,"11981,85","(42.80074682,-2.91080642)",545,https://www.aemet.es/es/eltiempo/prediccion/municipios/erriberagoitia-ribera-alta-pobes-id01046,01046
Álava,Añana,,149,"2192,3285","(42.8012318,-2.98601634)",574,https://www.aemet.es/es/eltiempo/prediccion/municipios/anana-salinas-de-anana-gesaltza-anana-id01049,01049
Álava,Agurain,Salvatierra,5038,"3776,9884","(42.850452,-2.389753)",608,https://www.aemet.es/es/eltiempo/prediccion/municipios/agurain-salvatierra-id01051,01051
Álava,Samaniego,,315,"1057,8","(42.56735197,-2.67904862)",571,https://www.aemet.es/es/eltiempo/prediccion/municipios/samaniego-id01052,01052
Álava,San Millán,Donemiliaga,706,"8540,58","(42.87382571,-2.37748902)",600,https://www.aemet.es/es/eltiempo/prediccion/municipios/san-millan-donemiliaga-ordonana-erdonana-id01053,01053
Álava,Urkabustaiz,,1386,"6084,8426","(42.95304046,-2.90661046)",633,https://www.aemet.es/es/eltiempo/prediccion/municipios/urkabustaiz-izarra-id01054,01054
Álava,Valdegovía,Gaubea,986,"23823,44","(42.84756896,-3.09884417)",552,https://www.aemet.es/es/eltiempo/prediccion/municipios/valdegovia-gaubea-villanueva-de-valdegovia-id01055,01055
Álava,Harana,Valle de Arana,218,"3912,1857","(42.75289194,-2.33104687)",812,https://www.aemet.es/es/eltiempo/prediccion/municipios/harana-valle-de-arana-alda-id01056,01056
Álava,Villabuena de Álava,Eskuernaga,274,"847,9289","(42.54857804,-2.66452938)",483,https://www.aemet.es/es/eltiempo/prediccion/municipios/villabuena-de-alava-eskuernaga-id01057,01057
Álava,Legutio,,1921,"4585,3184","(42.9798744,-2.64255929)",570,https://www.aemet.es/es/eltiempo/prediccion/municipios/legutio-id01058,01058
Álava,Vitoria-Gasteiz,,253996,"27665,96","(42.85058789,-2.67275685)",539,https://www.aemet.es/es/eltiempo/prediccion/municipios/vitoria-gasteiz-id01059,01059
Álava,Yécora,Iekora,270,"1880,2483","(42.56923117,-2.4700849)",694,https://www.aemet.es/es/eltiempo/prediccion/municipios/yecora-iekora-id01060,01060
